id_revision,post_id,tema,subtema,cuestion,criterio_extraido,aplicacion_a_mi_caso,riesgo,prioridad,validar_con_asesor,documentos_necesarios,accion_recomendada,pregunta_asesor,titulo_post,url_post,fragmento_soporte,observaciones
RG-039,116,Gastos deducibles,gastos deducibles,El uso propio intermedio puede romper la defensa de ciertos gastos previos o entre arrendamientos.,El uso propio intermedio puede romper la defensa de ciertos gastos previos o entre arrendamientos.,"Si quieres deducir la puesta en alquiler, evita mezclar uso propio intermedio.",Alto,Alta,Sí,Cronología de ocupación | Pruebas de no uso propio,Documentar cuándo cesó el uso propio y cuándo empezó la puesta en alquiler.,¿Qué pruebas conviene conservar para acreditar que no hubo uso propio entre la obra y el alquiler?,#Clase 11: Los gastos de reparación y conservación,https://fiscalizarte.substack.com/p/clase-11-los-gastos-de-reparacion,"epto, podemos hacer un sopropido el piso entre la compre del alquiler, ¿vale? Si hacemos uso propio del piso, la posibilidad aplicamente tipo de gasto desaparece, siempre sí. Y súper importante también que la factura debe costar la dirección del imóla alquilado, ¿vale? Esto también para la comprar e",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-040,116,Reparación vs mejora,mejora / ampliación,La factura debería identificar la dirección del inmueble alquilado.,La factura debería identificar la dirección del inmueble alquilado.,Refuerza mucho la defensa probatoria de reparaciones y mobiliario.,Alto,Alta,No,Factura con dirección del inmueble | Justificante bancario,Pedir a proveedores facturas con la dirección exacta del piso alquilado.,"¿Si ya tengo facturas sin dirección, qué soporte adicional refuerza mejor su vinculación al inmueble?",#Clase 11: Los gastos de reparación y conservación,https://fiscalizarte.substack.com/p/clase-11-los-gastos-de-reparacion,"pio del piso, la posibilidad aplicamente tipo de gasto desaparece, siempre sí. Y súper importante también que la factura debe costar la dirección del imóla alquilado, ¿vale? Esto también para la comprar el movilitario, es conveniente que en la propia factura, pues aparezca, me den esta dirección per",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-041,116,Reparación vs mejora,mejora / ampliación,Llevar control de excesos pendientes para no perder deducción en años posteriores.,Llevar control de excesos pendientes para no perder deducción en años posteriores.,"Si gastos no aplicados superan límites, necesitas control anual propio.",Medio,Alta,Sí,Cuadro anual de pendientes | Copia de declaraciones,Crear hoja de seguimiento de saldos pendientes por inmueble y ejercicio.,¿Cómo conviene documentar y arrastrar a años siguientes los gastos no aplicados?,#Clase 11: Los gastos de reparación y conservación,https://fiscalizarte.substack.com/p/clase-11-los-gastos-de-reparacion,"iguales, para que me voy a meterlo de ejercicio siguiente, bueno, pues si tú no rellen esta casiguita, aquí, el año que viene, el programa, no te va a recordar, que tienes pendiente de aplicar esto, vale, estos 6.000 euros, no te van a aparecer año que viene en la casiguita anterior, por lo tanto,",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-042,201,Gastos deducibles,gastos deducibles,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,¿Sabías que puedes deducir los gastos de reparación de tus pisos en alquiler? 🛠️💸,https://fiscalizarte.substack.com/p/sabias-que-puedes-deducir-los-gastos,"Si tienes inmuebles alquilados y te encargas tú mismo de las reparaciones, ¡esto te interesa! Hoy te cuento cómo puedes deducir estos gastos y qué necesitas para justificarlo ante Hacienda, explicado sin rodeos.",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-043,201,Gastos deducibles,gastos deducibles,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Alta,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,¿Sabías que puedes deducir los gastos de reparación de tus pisos en alquiler? 🛠️💸,https://fiscalizarte.substack.com/p/sabias-que-puedes-deducir-los-gastos,"Aquí viene la gran pregunta: ¿cómo justificas que esos gastos son reales? Hacienda te dirá que lo ideal es una factura, pero no te asustes si no tienes todas. También puedes usar otros documentos como:",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-045,118,Gastos deducibles,gastos deducibles,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,#Clase 10: Los intereses y gastos de financiación,https://fiscalizarte.substack.com/p/clase-10-los-intereses-y-gastos-de,"carga fiscal. Entonces, son estos gastos junto con los que veremos en la clase siguiente, que son los gastos reparación conservación, son dos grupos de gastos muy importantes por la influencia que tienen la carga fiscal, ¿vale? Como veremos. Entonces, bueno,",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-046,118,Intereses hipotecarios,intereses préstamo,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Alta,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,#Clase 10: Los intereses y gastos de financiación,https://fiscalizarte.substack.com/p/clase-10-los-intereses-y-gastos-de,"ueble, yo tengo el pilado, no, debe quedar claro, no, se debe identificar en la escritura de hipoteca o en el contrato de préstamos, que el préstamos que yo he pedido es para comprar ese inmueble en concreto, ¿vale? Eso, pues bueno, ya sabéis que si haciendo",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-049,214,IRPF alquiler inmueble,renta mensual,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Alta,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,No cometas este grave error al declarar tus alquileres,https://fiscalizarte.substack.com/p/no-cometas-este-grave-error-al-declarar,"Estos últimos días, revisando y ordenando las facturas con el objetivo de preparar la próxima declaración de la renta me he vuelto a dar cuenta de la gran olvidada: la amortización fiscal de la construcción…",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-051,102,Gastos deducibles,gastos deducibles,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,#Clase 14: Amortización de las mejoras.,https://fiscalizarte.substack.com/p/clase-14-amortizacion-de-las-mejoras,MEJORA y/o REPARACIÓN/CONSERVACIÓN?,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-052,102,Reparación vs mejora,mejora / ampliación,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Alta,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,#Clase 14: Amortización de las mejoras.,https://fiscalizarte.substack.com/p/clase-14-amortizacion-de-las-mejoras,"Hay un gran debate y es que De esa reforma que yo le hago al inmueble habrá conceptos de esa reforma, de esa factura, que se considerarán mejoras, es decir, que tienen el carácter fiscal de mejora para Hacienda y habrá otros conceptos que se consideren gas",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-055,75,Suministros / comunidad / IBI / seguros,IBI,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Media,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,🧾 Fiscalidad Inmobiliaria | ¿Cómo se calcula la amortización fiscal de un inmueble heredado y alquilado?,https://fiscalizarte.substack.com/p/fiscalidad-inmobiliaria-como-se-calcula,📌 Recuerda: es clave documentar bien tanto el valor del ISD como el del IBI por si Hacienda requiere justificantes.,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-058,224,Gastos deducibles,gastos deducibles,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,Directo y al grano!,https://fiscalizarte.substack.com/p/directo-y-al-grano,reparación y mantenimiento,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-059,224,Gastos deducibles,gastos deducibles,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Alta,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,Directo y al grano!,https://fiscalizarte.substack.com/p/directo-y-al-grano,"y gastos de financiación. Si has comprado el inmueble con hipoteca, puedes incluir como gasto deducible los intereses pagados al banco (encontrarás este importe en el justificante del banco de cargo de cuota del préstamo, donde aparece separada la parte de devolución y los intereses).",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-060,88,Alquiler por habitaciones,habitaciones con distinta casuística,Declarar correctamente el rendimiento del alquiler en IRPF según el criterio explicado en el post.,Declarar correctamente el rendimiento del alquiler en IRPF según el criterio explicado en el post.,Puede afectar a cómo montas tu cálculo anual del alquiler por habitaciones.,Medio,Alta,Sí,Resumen anual de ingresos | Relación de gastos,Revisar si este criterio encaja con tu forma de declarar el alquiler.,¿Cómo debo aplicar este criterio de rendimiento neto/reducido en mi caso?,"🏠💸 ERROR FRECUENTE EN RENTAS DE INMUEBLES: ""Se me olvidaron los gastos de reparación el año pasado... ¿Y ahora qué?",https://fiscalizarte.substack.com/p/error-frecuente-en-rentas-de-inmuebles,rendimientos del capital inmobiliario,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-061,88,Gastos deducibles,gastos deducibles,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,"🏠💸 ERROR FRECUENTE EN RENTAS DE INMUEBLES: ""Se me olvidaron los gastos de reparación el año pasado... ¿Y ahora qué?",https://fiscalizarte.substack.com/p/error-frecuente-en-rentas-de-inmuebles,Los gastos de reparación y conservación son deducibles,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-063,61,Gastos deducibles,gastos deducibles,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,"🧾 ¿Comprar, reformar y vender pisos como autónomo o como persona física? La clave fiscal que puede cambiar tu rentabilidad",https://fiscalizarte.substack.com/p/comprar-reformar-y-vender-pisos-como,"“En el curso se recomienda darse de alta como autónomo con actividad económica para deducir gastos de conservación y reparación. Pero entonces la ganancia tributa en la base general… y eso implica pagar mucho más que si tributa como ganancia patrimonial en la base del ahorro, ¿no?",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-065,84,Gastos deducibles,gastos deducibles,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,#Clase 15: Cuestiones Comunes a los gastos deducibles.,https://fiscalizarte.substack.com/p/clase-15-cuestiones-comunes-a-los,protosolotó a cargar el suelo y tarde un meí me dio un reparar porque la empresa que me hace la reforma o la reparación pues me da cita de aquí un meí meí meí meí entre arrenamientos aunque no te ha ilchido a del imueble de ese meí meí meí meí los gatos de re,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-066,84,Gastos deducibles,gastos deducibles,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Alta,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,#Clase 15: Cuestiones Comunes a los gastos deducibles.,https://fiscalizarte.substack.com/p/clase-15-cuestiones-comunes-a-los,"y repararlo como gasto de un siglo porque va a tener problemas, te va a llevar una comprobación te va a pedir factura, va a la vez que ha pasado un plazo de tiempo muy exterso y te van a guitarlo a estos que te ha imputado, así he chamalando cosas prudencia",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-067,29,Alquiler por habitaciones,habitaciones con distinta casuística,Declarar correctamente el rendimiento del alquiler en IRPF según el criterio explicado en el post.,Declarar correctamente el rendimiento del alquiler en IRPF según el criterio explicado en el post.,Puede afectar a cómo montas tu cálculo anual del alquiler por habitaciones.,Medio,Alta,Sí,Resumen anual de ingresos | Relación de gastos,Revisar si este criterio encaja con tu forma de declarar el alquiler.,¿Cómo debo aplicar este criterio de rendimiento neto/reducido en mi caso?,#Clase 25: 100% IRPF en alquiler: la letra pequeña que te interesa de verdad.,https://fiscalizarte.substack.com/p/clase-25-100-irpf-en-alquiler-la,", ¿vale? Y, pues, Tengo una serie de gastos que ya sabéis que os podéis deducir para llegar a lo que sería el rendimiento neto antes de aplicarme la reducción, ¿vale? ¿Cuáles son estos gastos? Una comunidad de 720 euros, un seguro de impago de 384 euros, ¿vale? No l",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-069,29,IRPF alquiler inmueble,renta mensual,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,#Clase 25: 100% IRPF en alquiler: la letra pequeña que te interesa de verdad.,https://fiscalizarte.substack.com/p/clase-25-100-irpf-en-alquiler-la,"engo un seguro de hogar de 150 euros, tengo un IBI, un impuesto a bien inmueble de 300, ¿vale? Unos gastos de reparación y conservación que me he podido deducir de 500 euros y una amortización fiscal, ¿vale? Esto iría aquí, ¿vale? De 4.500 euros anuales. Pues",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-070,29,IRPF alquiler inmueble,renta mensual,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Alta,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,#Clase 25: 100% IRPF en alquiler: la letra pequeña que te interesa de verdad.,https://fiscalizarte.substack.com/p/clase-25-100-irpf-en-alquiler-la,"Si tienes un alquiler (o vas a renovar contrato), esto te interesa porque es una decisión que te afecta",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-072,76,Gastos deducibles,gastos deducibles,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,… esto es lo que te estás perdiendo...,https://fiscalizarte.substack.com/p/esto-es-lo-que-te-estas-perdiendo,"Para que lo tengas claro, aquí va una muestra de lo que está en preparación (y que solo verás si eres suscriptor premium):",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-073,76,Riesgo Hacienda,riesgo de comprobación,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Alta,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,… esto es lo que te estás perdiendo...,https://fiscalizarte.substack.com/p/esto-es-lo-que-te-estas-perdiendo,"No es tan sencillo como aplicar el 3% sobre el valor catastral. Te explico los matices, cómo se calcula según el momento de adquisición y qué documentación es clave para no tener problemas con Hacienda.",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-075,127,Prueba documental,facturas detalladas,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Media,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,#Clase 9: La Amortización Fiscal del Inmueble,https://fiscalizarte.substack.com/p/clase-9-la-amortizacion-fiscal-del,"sabe que se tiene que sumar notaría, registro, comisión inmobiliaria, comisión de personal shopper, si va con factura, todo eso se suma. Pues imaginaros que en vez de meter 30, que es lo que realmente me gasta, he metido 18. Pues que veáis que pierdo. Pierd",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-077,6,Gastos deducibles,gastos deducibles,"Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.","Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post.",Útil para clasificar facturas y evitar errores ante Hacienda.,Alto,Alta,Sí,Factura detallada | Presupuesto | Fotos antes/después,Clasificar la factura afectada antes de meterla en renta.,¿Este gasto concreto encaja aquí o debería ir con otro tratamiento fiscal?,#Clase 30: Clase BOMBA: así realizo una auditoría fiscal-patrimonial de un inversor de mi comunidad.,https://fiscalizarte.substack.com/p/clase-30-clase-bomba-asi-realizo,"dole la estrategia que considero que fiscalmente y en base a su objetivo es la más acorde y posibles pautas o mejoras. Ahora os compartiré también el informe para que lo podáis ver. Pero bueno, empezamos. En este caso se trata de un inversor que se llama F",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-078,6,Suministros / comunidad / IBI / seguros,IBI,"Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.",Sirve para blindar una futura comprobación.,Medio,Media,No,Facturas | Contratos | Extractos bancarios,Guardar el soporte probatorio vinculado a este criterio.,¿Qué soporte adicional conviene conservar para defender este punto?,#Clase 30: Clase BOMBA: así realizo una auditoría fiscal-patrimonial de un inversor de mi comunidad.,https://fiscalizarte.substack.com/p/clase-30-clase-bomba-asi-realizo,El problema es estructurar bien para seguir creciendo sin comerte una factura fiscal innecesaria.,Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-079,188,Alquiler por habitaciones,habitaciones con distinta casuística,"Si el análisis afecta a IRPF frente a Impuesto sobre Sociedades, debe validarse con números reales y no con reglas generales.","Si el análisis afecta a IRPF frente a Impuesto sobre Sociedades, debe validarse con números reales y no con reglas generales.",Te ayuda a evitar decisiones por titulares y centrarte en el impacto fiscal real de tu alquiler.,Alto,Alta,Sí,Borrador renta | Escenario de tributación | Flujo de caja anual,Preparar comparativa numérica antes de valorar un cambio de estructura.,¿Qué diferencia fiscal real tendría en mi caso tributar este alquiler por habitaciones como persona física frente a sociedad?,¿Persona física o sociedad? La gran pregunta en inversión inmobiliaria,https://fiscalizarte.substack.com/p/persona-fisica-o-sociedad-la-gran,"ario, aquí está la diferencia clave: ¿Qué implica esto? Persona física : Pagas más impuestos (hasta el 47% de IRPF), pero lo que ganas está directamente en tu bolsillo. No tienes que lidiar con la gestión de una sociedad ni con sus obligaciones contables",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
RG-080,188,Gastos deducibles,gastos deducibles,"La elección de estructura puede afectar a deducciones, operativa y riesgos con Hacienda, por lo que no debe tratarse como una simple cuestión de tipo impositivo.","La elección de estructura puede afectar a deducciones, operativa y riesgos con Hacienda, por lo que no debe tratarse como una simple cuestión de tipo impositivo.","Útil para revisar no solo cuota fiscal, sino también complejidad, prueba documental y defensa ante Hacienda.",Alto,Alta,Sí,Contratos | Facturas | Criterios de imputación | Escenario operativo,Valorar estructura solo junto con obligaciones formales y riesgos de comprobación.,¿Qué riesgos prácticos y diferencias en gastos deducibles tendría mi caso si siguiera como persona física frente a una sociedad?,¿Persona física o sociedad? La gran pregunta en inversión inmobiliaria,https://fiscalizarte.substack.com/p/persona-fisica-o-sociedad-la-gran,"s Imagina que tienes 10 inmuebles que generan ingresos brutos de 72.000€ al año (7.200€ por inmueble). Tienes gastos deducibles como IBI, comunidad y seguros, que suman 12.760€ anuales en total. En este escenario, aquí está la diferencia clave: ¿Qué implica esto? Per",Fila derivada directamente del consolidado 05; solo se ha normalizado tema/subtema y se ha evitado duplicado prácticamente idéntico.
